Table Names,Year,Month,Mean Temp.,Total Precip (mm),Year-1,Month-1,Zone ,Sex,Frequency,Frequency of suicide excluding drug toxicity suicide deaths (i.e. drug overdose)
weather_after 2012.xlsx/Sheet1,2014,Apr,4.3,142.7,2014,Apr,Nova Scotia,Total,9,7
weather_after 2012.xlsx/Sheet1,2014,May,9.3,31.9,2014,May,Nova Scotia,Total,7,6
weather_after 2012.xlsx/Sheet1,2014,Jun,15.4,111.7,2014,Jun,Nova Scotia,Total,5,4
weather_after 2012.xlsx/Sheet1,2014,Jul,20.2,78.8,2014,Jul,Nova Scotia,Total,15,13
weather_after 2012.xlsx/Sheet1,2014,Aug,18.4,0.8,2014,Aug,Nova Scotia,Total,15,14
weather_after 2012.xlsx/Sheet1,2014,Sep,14.8,72,2014,Sep,Nova Scotia,Total,12,11
weather_after 2012.xlsx/Sheet1,2014,Oct,11.3,107,2014,Oct,Nova Scotia,Total,7,6
weather_after 2012.xlsx/Sheet1,2014,Nov,3.7,210.9,2014,Nov,Nova Scotia,Total,9,5
weather_after 2012.xlsx/Sheet1,2014,Dec,0.5,278,2014,Dec,Nova Scotia,Total,11,7
weather_after 2012.xlsx/Sheet1,2015,Jan,-6.8,141.4,2015,Jan,Nova Scotia,Total,7,7
weather_after 2012.xlsx/Sheet1,2015,Feb,-10,161.3,2015,Feb,Nova Scotia,Total,13,10
weather_after 2012.xlsx/Sheet1,2015,Mar,-4.7,178.1,2015,Mar,Nova Scotia,Total,8,7
weather_after 2012.xlsx/Sheet1,2015,Apr,2,103.3,2015,Apr,Nova Scotia,Total,8,8
weather_after 2012.xlsx/Sheet1,2015,May,11.4,57,2015,May,Nova Scotia,Total,16,15
weather_after 2012.xlsx/Sheet1,2015,Jun,13.3,154.1,2015,Jun,Nova Scotia,Total,12,9
weather_after 2012.xlsx/Sheet1,2015,Jul,18.6,117.4,2015,Jul,Nova Scotia,Total,12,10
weather_after 2012.xlsx/Sheet1,2015,Aug,20.7,76.1,2015,Aug,Nova Scotia,Total,21,17
weather_after 2012.xlsx/Sheet1,2015,Sep,17.2,75.6,2015,Sep,Nova Scotia,Total,12,8
weather_after 2012.xlsx/Sheet1,2015,Oct,8.6,190.4,2015,Oct,Nova Scotia,Total,7,6
weather_after 2012.xlsx/Sheet1,2015,Nov,4.6,126.5,2015,Nov,Nova Scotia,Total,5,2
weather_after 2012.xlsx/Sheet1,2015,Dec,1.5,156.9,2015,Dec,Nova Scotia,Total,14,12
weather_after 2012.xlsx/Sheet1,2016,Jan,-4.3,149.1,2016,Jan,Nova Scotia,Total,19,18
weather_after 2012.xlsx/Sheet1,2016,Feb,-2.1,147.3,2016,Feb,Nova Scotia,Total,13,11
weather_after 2012.xlsx/Sheet1,2016,Mar,-1,145.2,2016,Mar,Nova Scotia,Total,9,7
weather_after 2012.xlsx/Sheet1,2016,Apr,3.6,159.5,2016,Apr,Nova Scotia,Total,5,4
weather_after 2012.xlsx/Sheet1,2016,May,10.7,100.1,2016,May,Nova Scotia,Total,12,8
weather_after 2012.xlsx/Sheet1,2016,Jun,14.4,72.5,2016,Jun,Nova Scotia,Total,15,12
weather_after 2012.xlsx/Sheet1,2016,Jul,19.5,73.4,2016,Jul,Nova Scotia,Total,16,11
weather_after 2012.xlsx/Sheet1,2016,Aug,19.6,44.5,2016,Aug,Nova Scotia,Total,11,11
weather_after 2012.xlsx/Sheet1,2016,Sep,16.1,84.5,2016,Sep,Nova Scotia,Total,5,4
weather_after 2012.xlsx/Sheet1,2016,Oct,10.2,218.5,2016,Oct,Nova Scotia,Total,9,7
weather_after 2012.xlsx/Sheet1,2016,Nov,4.8,130.5,2016,Nov,Nova Scotia,Total,14,14
weather_after 2012.xlsx/Sheet1,2016,Dec,-2.9,183.5,2016,Dec,Nova Scotia,Total,6,5
weather_after 2012.xlsx/Sheet1,2017,Jan,-3,163.4,2017,Jan,Nova Scotia,Total,15,14
weather_after 2012.xlsx/Sheet1,2017,Feb,-3.4,165,2017,Feb,Nova Scotia,Total,8,7
weather_after 2012.xlsx/Sheet1,2017,Mar,-3.5,129.5,2017,Mar,Nova Scotia,Total,11,9
weather_after 2012.xlsx/Sheet1,2017,Apr,5.2,91,2017,Apr,Nova Scotia,Total,12,10
weather_after 2012.xlsx/Sheet1,2017,May,10.2,156,2017,May,Nova Scotia,Total,7,5
weather_after 2012.xlsx/Sheet1,2017,Jun,15.7,69.3,2017,Jun,Nova Scotia,Total,19,16
weather_after 2012.xlsx/Sheet1,2017,Jul,18.6,145,2017,Jul,Nova Scotia,Total,15,14
weather_after 2012.xlsx/Sheet1,2017,Aug,18.8,93.7,2017,Aug,Nova Scotia,Total,15,13
weather_after 2012.xlsx/Sheet1,2017,Sep,16.6,142.1,2017,Sep,Nova Scotia,Total,5,5
weather_after 2012.xlsx/Sheet1,2017,Oct,12.4,66.8,2017,Oct,Nova Scotia,Total,12,11
weather_after 2012.xlsx/Sheet1,2017,Nov,4.1,144.5,2017,Nov,Nova Scotia,Total,8,7
weather_after 2012.xlsx/Sheet1,2017,Dec,-2.6,180,2017,Dec,Nova Scotia,Total,11,9
weather_after 2012.xlsx/Sheet1,2018,Jan,-4.5,154.6,2018,Jan,Nova Scotia,Total,11,9
weather_after 2012.xlsx/Sheet1,2018,Feb,-1.2,159.7,2018,Feb,Nova Scotia,Total,13,12
weather_after 2012.xlsx/Sheet1,2018,Mar,0.1,120.4,2018,Mar,Nova Scotia,Total,10,9
weather_after 2012.xlsx/Sheet1,2018,Apr,4.1,204.2,2018,Apr,Nova Scotia,Total,13,9
weather_after 2012.xlsx/Sheet1,2018,May,10.7,63.1,2018,May,Nova Scotia,Total,18,18
weather_after 2012.xlsx/Sheet1,2018,Jun,13.6,178.1,2018,Jun,Nova Scotia,Total,12,7
weather_after 2012.xlsx/Sheet1,2018,Jul,20.8,65.9,2018,Jul,Nova Scotia,Total,9,6
weather_after 2012.xlsx/Sheet1,2018,Aug,21,58,2018,Aug,Nova Scotia,Total,17,14
weather_after 2012.xlsx/Sheet1,2018,Sep,15.4,101.8,2018,Sep,Nova Scotia,Total,8,6
